Scale,Subscale,Brief,Client
Agoraphobia,,Fear and avoidance of situations where escape may be difficult,"Being anxious, panicking, or avoiding situations that feel difficult to escape. Examples include being in small or enclosed spaces, crowds, tunnels, or elevators and may involve worrying about having a panic attack in those situations."
Antisocial Behavior,,Behavior that goes against social norms and could harm others or society,"Doing things that break rules or cause harm to others or the community. Examples include damaging property, stealing, breaking the law, hurting or threatening to hurt someone, or hurting animals."
Appetite Loss,,Decreased appetite and food interest that may cause sudden and unintended weight loss,"Reduced appetite or interest in food that can lead to unplanned weight loss. Examples include not feeling hungry, not feeling like eating, or losing a noticeable amount of weight without trying."
Binge Eating,,"Eating unusually large amounts of food in a short period of time, with little control over stopping",Episodes of eating much more food than usual in a short period of time and having trouble stopping or controlling eating. Examples include feeling unable to resist food or continuing to eat until uncomfortably full.
Bodily Distress,,"Physical symptoms like pain, weakness, or stomach issues without a clear medical cause","Physical problems that don't have a clear medical explanation. Examples include ongoing pain, fatigue, muscle weakness, stomach issues like nausea or diarrhea, chest pain, or other physical symptoms without a known cause."
Body Dissatisfaction,,"Persistent dissatisfaction with one's body shape, physical attractiveness, or perceived imperfections","Ongoing unhappiness with your body shape, attractiveness, or perceived flaws. Examples include comparing your body to others, wishing to change certain features, feeling dissatisfied with your shape, or disliking your weight on the scale."
Body Focus,,"Excessive focus on appearance, with frequent checking, grooming, and concern about looks","Strong focus on appearance and frequent attention to how you look. Examples include spending a lot of time looking in mirrors or reflections, grooming or getting ready, and paying close attention to your appearance before going out."
Callousness,,Disregard for others' feelings and needs with little sympathy or concern,"A general tendency to give little attention to others’ feelings or needs. Examples include not thinking much about how others feel, finding it hard to show sympathy, or being seen as distant or unresponsive."
Checking,,"Repetitive urges to check tasks, driven by doubt about whether they were done or done correctly","Having doubts about whether tasks were done correctly and having repeated urges to check them. Examples include rechecking whether appliances have been turned off, worrying about leaving something unfinished, or feeling nagging doubts even after completing a task."
Cleaning,,"Fear of dirt and germs, leading to excessive washing, cleaning, or avoiding contact with people or objects","Fear of dirt or germs that leads to frequent washing, cleaning, or avoiding contact with people or objects. Examples include avoiding contact with people or animals, feeling contaminated, or repeatedly washing hands and cleaning to feel comfortable."
Cognitive Problems,,"Difficulty concentrating, remembering, or thinking clearly, with frequent distraction or racing thoughts","Problems with concentration, memory, or clear thinking. Examples include being easily distracted, struggling to remember things, feeling mentally mixed up, or experiencing thoughts that quickly jump from one topic to another."
Conversion Symptoms,,Neurological symptoms such as sensory loss or motor abnormalities without medical explanation,"Unusual problems with movement, senses, or awareness that don't have a clear medical reason. Examples include sudden weakness, fainting spells, unexplained seizures, temporary blindness or deafness, or losing the ability to feel things."
Counting,,"Repeated counting of objects or actions, often linked to beliefs or superstitions about numbers","Urges to count things or actions repeatedly, sometimes tied to beliefs about luck. Examples include counting objects over and over, avoiding “unlucky” numbers, or needing to reach certain numbers before starting activities."
Dietary Restraint,,Preoccupation with healthy eating that results in strict food rules and restriction,"Strong focus on healthy eating in ways that create strict rules or restrictions. Examples include trying to eat only healthy foods, limiting all fatty foods or snacks, or carefully planning to reduce food intake."
Difficulties Reaching Orgasm,,"Trouble reaching satisfying sexual climax, even with arousal and proper stimulation","Difficulties reaching orgasm during sexual activity, even with arousal. Examples include being unable to orgasm, taking much longer than desired, or finding it difficult to achieve a satisfying sexual experience."
Disease Conviction,,Persistent belief in having serious health problems despite medical reassurance to the contrary,"Strong beliefs about having a serious health problem even when doctors dismiss concerns. Examples include feeling unheard by doctors, becoming upset when symptoms aren't taken seriously, or struggling to convince others the illness is real."
Dishonesty,,A tendency to mislead or exploit others through deceit and manipulation,"Patterns of bending the truth or influencing others in misleading ways. Examples include saying things that are not true, lying to avoid trouble, exaggerating to impress, or persuading people to believe something that is inaccurate."
Dishonesty,Deceitfulness,"Persistent pattern of lying, deceit, and exaggeration, including fraud or misrepresentation","A pattern of bending the truth or misrepresenting facts. Examples include saying things that are not true, lying to avoid trouble, exaggerating to make oneself look better, or presenting a false impression to others."
Dishonesty,Manipulativeness,Exploiting or manipulating others emotionally to gain control or acheive a goal,"Using persuasion or influence in ways that may mislead others to get what you want. Examples include tricking people, making others believe things that are not true, or shaping situations to gain more control or advantage."
Disorganization,,"Difficulty staying organized, keeping track of items, and maintaining orderly spaces or schedules","Having trouble staying organized, being on time, or keeping track of belongings. Examples including losing important items, forgetting appointments, missing deadlines, or having messy living and working spaces."
Dissociation,,"Experiences of feeling detached from self, memories, or surroundings, sometimes replaced by fantasies or trance states","Feeling disconnected from yourself, your memories, or the world around you, sometimes shifting into trance-like or dreamlike states. Examples include sudden blank spells, feeling outside your body, things seeming unreal, or being unsure if events actually happened."
Distress-Dysphoria,,Proneness to a wide range of negative feelings and emotional distress,"Frequent or intense negative emotions and low mood across many areas of life. Examples include feeling anxious or hopeless, lacking interest or energy, feeling worthless or ashamed, blaming yourself, and having trouble enjoying things you used to."
Distress-Dysphoria,Anhedonia,Loss of interest or pleasure in activities once found enjoyable,"Loss of interest or pleasure in activities you used to enjoy. Examples include finding little that feels interesting, rarely getting excited, or not experiencing the joy and pleasure you once felt from hobbies, socializing, or daily activities."
Distress-Dysphoria,Anxious Worry,"Proneness to nervousness, fear, and persistent feelings of anxiety or tension","Frequent feelings of nervousness, fear, or ongoing tension. Examples include feeling overwhelmed by anxiety, being constantly on edge, or experiencing high levels of stress that make it difficult to relax or feel at ease."
Distress-Dysphoria,Depressed Mood,"Persistent feelings of sadness, discouragement, and pessimism about the future","Ongoing feelings of sadness, low mood, and pessimism about the future. Examples include feeling hopeless, worthless, depressed, or often down and discouraged, making it hard to see things improving over time."
Distress-Dysphoria,Lassitude,Chronic fatigue and reduced energy that make daily tasks harder to manage,"Ongoing tiredness and low energy that make it harder to get through the day. Examples include needing a lot of effort to get started, feeling worn out, or having very little energy to manage daily activities."
Distress-Dysphoria,Shame/Guilt,"Persistent feelings of worthlessness, inadequacy, and shame, often accompanied by guilt","Feeling worthless, ashamed, or guilty in ways that make it hard to feel okay about yourself. Examples include feeling bad about yourself, blaming yourself for things, or feeling lots of shame or guilt for small mistakes."
Domineering,,"A tendency to dominate interactions, asserting control and power over others","A strong tendency to take charge and direct others in social or group situations. Examples include wanting to have power, taking the lead, being the one with authority, or telling others what to do."
Eccentricity,,"Strange or unpredictable behavior, appearance, or speech, often marked by unusual thoughts","Thinking, behaving, or dressing in ways that seem unusual or unpredictable to others. Examples include thinking about things in different ways than most people, saying odd or inappropriate things, or being told by others that you seem weird or strange."
Emotionality,,"General tendency to feel intense, irritable, or hostile emotions that can shift quickly","Frequent and quickly changing emotions that can feel intense, irritable, or hostile. Examples include sudden mood shifts, getting upset over small frustrations, feeling grouchy or easily annoyed, or having angry outbursts that may scare others."
Emotionality,Affective Lability,"Frequent, dramatic changes in mood, occurring quickly and unpredictably","Quick and dramatic mood changes that happen often and without clear reason. Examples include moods that feel intense and unpredictable, sudden shifts for no apparent cause, or rapidly going from feeling sad to feeling happy."
